231,Indian Institute of Technology Guwahati,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,18,2,5,0,7,0,4,0,13,0,49,52,10
232,Indian Institute of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,21,1,5,0,8,0,3,1,14,1,54,61,7
233,Indian Institute of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,22,1,5,1,9,0,4,0,14,1,57,68,4
234,Indian Institute of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,36,2,9,1,13,1,7,0,25,1,95,99,20
235,Indian Institute of Technology Guwahati,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",All India,Gender-Neutral,6,1,2,0,2,0,1,0,4,0,16,20,0
236,Indian Institute of Technology Guwahati,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,26,1,7,0,10,0,4,1,17,1,67,79,5
237,Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,16,1,4,0,7,0,3,0,11,1,43,51,3
238,Indian Institute of Technology Bhilai,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,1,4,0,6,0,3,0,11,1,43,51,3
239,Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,1,5,0,6,1,3,0,11,0,44,51,4
240,Indian Institute of Technology Bhilai,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",All India,Gender-Neutral,6,0,1,0,2,0,2,0,5,0,16,20,0
241,Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,2,1,5,0,2,0,9,0,32,32,8
242,Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,13,0,4,0,5,0,2,1,9,0,34,34,9
243,Indian Institute of Technology Goa,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,8,0,3,0,4,0,2,0,6,0,23,23,6
244,Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,16,0,3,0,4,1,2,0,9,1,36,36,9
245,Indian Institute of Technology Palakkad,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,2,1,5,0,2,0,9,0,32,35,5
